Bakery;City;Picture;Vegan;Price;Kind
Melins Café;Linköping;melins.jpg;F;43;Classic
Lanemos;Linköping;lanemos.jpg;F;54;Classic
Linds;Linköping;linds.jpg;F;39,9;Classic
Bageri Normandie;Linköping;normandie.jpg;F;55;Classic
Simons Rosteri och Bageri;Linköping;simons.jpg;F;58;Classic
Stadsmissionen Café;Linköping;stadsmissionen.jpg;F;47;Classic
Bostället Vedugnsbageri;Linköping;bostallet.jpg;F;50;Classic
Ronaldos;Linköping;ronaldos.jpg;F;48;Classic
Babettes;Linköping;babettes.jpg;F;59;Classic
Open New Doors Banhnof;Sya;opennewdoors.jpg;T;57;Classic
Tössebageriet;Stockholm;tossewrap.jpg;F;45;Wrap
Komet;Stockholm;komet-vanlig.webp;F;59;Classic
Komet;Stockholm;komet-kaffesemla.jpg;F;59;Coffee
Svedjan;Stockholm;svedjan.jpg;F;69;Classic
Steinbrenner & Nyberg;Göteborg;steinbrennernyberg.jpg;F;52;Vanilla
